=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 7건 (3승 4패)
총 수익금: +9,206원 (+0.9%)
  ㄴ 승리 수익: +77,716원 (실제 수익률 합계)
  ㄴ 손실 금액: -68,510원 (실제 손실률 합계)

=== 총 승패: 3승 4패 ===
=== selection_date 이후 승패: 3승 4패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 3승 4패 (승률 42.9%) ===
총 수익금: +9,206원 (+0.9%)
  ㄴ 승리 수익: +77,716원
  ㄴ 손실 금액: -68,510원

   🟢 039860(나노엔텍) 09:48 매수 → +3.50%
   🔴 049630(재영솔루텍) 09:57 매수 → -2.50%
   🔴 126340(비나텍) 10:00 매수 → -2.50%
   🟢 056090(시지메드텍) 10:22 매수 → +0.77%
   🔴 394800(쓰리빌리언) 10:27 매수 → -0.82%
   🔴 437730(삼현) 10:50 매수 → -1.03%
   🟢 007460(에이프로젠) 11:09 매수 → +3.50%

=== 084670 - 20251210 눌림목(3분) 신호 재현 ===
  selection_date: 2025-12-10 09:02:34
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    11:57→12:00: 종가:40,600 | 거래량:3,736 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:00→12:03: 종가:40,600 | 거래량:3,246 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:03→12:06: 종가:40,750 | 거래량:3,371 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:06→12:09: 종가:40,650 | 거래량:2,322 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:09→12:12: 종가:40,100 | 거래량:11,121 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:12→12:15: 종가:40,500 | 거래량:10,447 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:15→12:18: 종가:40,250 | 거래량:6,514 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:18→12:21: 종가:40,350 | 거래량:3,730 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:21→12:24: 종가:40,150 | 거래량:5,815 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:24→12:27: 종가:39,500 | 거래량:15,757 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:27→12:30: 종가:39,400 | 거래량:18,860 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:30→12:33: 종가:39,250 | 거래량:14,442 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:33→12:36: 종가:39,300 | 거래량:5,886 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:36→12:39: 종가:39,000 | 거래량:10,044 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:39→12:42: 종가:38,900 | 거래량:16,961 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:42→12:45: 종가:39,100 | 거래량:10,772 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:45→12:48: 종가:38,550 | 거래량:13,380 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:48→12:51: 종가:38,450 | 거래량:15,627 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:51→12:54: 종가:38,400 | 거래량:13,821 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:54→12:57: 종가:38,550 | 거래량:20,224 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:57→13:00: 종가:40,100 | 거래량:56,891 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:00→13:03: 종가:39,750 | 거래량:39,921 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:03→13:06: 종가:39,250 | 거래량:26,114 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:06→13:09: 종가:39,500 | 거래량:10,147 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:09→13:12: 종가:39,100 | 거래량:8,274 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:12→13:15: 종가:39,100 | 거래량:11,256 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:15→13:18: 종가:39,250 | 거래량:4,909 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
