=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 8건 (4승 4패)
총 수익금: +6,318원 (+0.6%)
  ㄴ 승리 수익: +106,318원 (실제 수익률 합계)
  ㄴ 손실 금액: -100,000원 (실제 손실률 합계)

=== 총 승패: 4승 4패 ===
=== selection_date 이후 승패: 4승 4패 ===
=== 📊 최대 동시 보유 종목 수: 6개 ===
=== 🌅 12시 이전 매수 종목: 4승 4패 (승률 50.0%) ===
총 수익금: +6,318원 (+0.6%)
  ㄴ 승리 수익: +106,318원
  ㄴ 손실 금액: -100,000원

   🔴 424760 09:33 매수 → -2.50%
   🟢 448900 10:20 매수 → +3.50%
   🔴 003720 10:36 매수 → -2.50%
   🔴 095340 10:36 매수 → -2.50%
   🟢 085910 10:43 매수 → +3.50%
   🔴 092200 11:15 매수 → -2.50%
   🟢 235980 11:21 매수 → +3.50%
   🟢 058610 11:36 매수 → +0.13%

=== 058610 - 20251119 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-19 10:23:12
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    11:36 [pullback_pattern]
  체결 시뮬레이션:
    11:36 매수[pullback_pattern] @37,950 → 15:00 매도[profit_0.1pct] @38,000 (+0.13%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    12:27→12:30: 종가:37,900 | 거래량:37,067 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:30→12:33: 종가:37,600 | 거래량:30,934 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:33→12:36: 종가:37,600 | 거래량:42,403 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:36→12:39: 종가:37,500 | 거래량:39,730 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:39→12:42: 종가:37,450 | 거래량:56,354 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:42→12:45: 종가:37,650 | 거래량:42,670 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:45→12:48: 종가:37,350 | 거래량:51,527 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:48→12:51: 종가:37,750 | 거래량:14,294 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:51→12:54: 종가:37,450 | 거래량:24,831 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:54→12:57: 종가:37,650 | 거래량:17,629 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:57→13:00: 종가:37,400 | 거래량:24,623 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:00→13:03: 종가:37,300 | 거래량:30,610 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:03→13:06: 종가:37,200 | 거래량:32,037 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:06→13:09: 종가:37,600 | 거래량:39,023 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:09→13:12: 종가:37,550 | 거래량:14,940 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:12→13:15: 종가:37,800 | 거래량:38,742 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:15→13:18: 종가:37,950 | 거래량:71,731 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:18→13:21: 종가:37,900 | 거래량:23,531 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:21→13:24: 종가:37,900 | 거래량:34,421 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:24→13:27: 종가:37,900 | 거래량:22,651 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:27→13:30: 종가:37,800 | 거래량:13,122 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:30→13:33: 종가:37,700 | 거래량:20,418 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:33→13:36: 종가:37,650 | 거래량:25,051 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:36→13:39: 종가:37,650 | 거래량:8,465 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:39→13:42: 종가:37,600 | 거래량:10,343 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:42→13:45: 종가:37,350 | 거래량:34,716 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:45→13:48: 종가:37,400 | 거래량:15,450 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:48→13:51: 종가:38,100 | 거래량:72,302 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:51→13:54: 종가:37,800 | 거래량:62,901 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:54→13:57: 종가:38,000 | 거래량:34,295 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:57→14:00: 종가:38,150 | 거래량:28,580 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:00→14:03: 종가:38,000 | 거래량:27,668 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:03→14:06: 종가:37,650 | 거래량:31,555 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:06→14:09: 종가:37,750 | 거래량:22,895 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:09→14:12: 종가:38,400 | 거래량:73,048 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:12→14:15: 종가:38,150 | 거래량:174,234 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:15→14:18: 종가:38,500 | 거래량:77,379 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:18→14:21: 종가:38,350 | 거래량:53,381 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:21→14:24: 종가:38,250 | 거래량:41,940 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:24→14:27: 종가:38,450 | 거래량:38,207 | 🔴회피(4단계패턴없음) | 신뢰도:0%
