=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 14건 (11승 3패)
총 수익금: +246,727원 (+24.7%)
  ㄴ 승리 수익: +303,936원 (실제 수익률 합계)
  ㄴ 손실 금액: -57,209원 (실제 손실률 합계)

=== 총 승패: 11승 3패 ===
=== selection_date 이후 승패: 11승 3패 ===
=== 📊 최대 동시 보유 종목 수: 8개 ===
=== 🌅 12시 이전 매수 종목: 11승 3패 (승률 78.6%) ===
총 수익금: +246,727원 (+24.7%)
  ㄴ 승리 수익: +303,936원
  ㄴ 손실 금액: -57,209원

   🟢 064820 09:30 매수 → +3.50%
   🟢 099410 09:30 매수 → +3.50%
   🟢 086390 09:36 매수 → +1.96%
   🟢 499790 09:48 매수 → +1.68%
   🟢 073010 09:54 매수 → +3.50%
   🟢 014940 10:06 매수 → +3.50%
   🟢 099410 10:06 매수 → +3.50%
   🔴 092460 10:25 매수 → -2.50%
   🔴 475960 10:33 매수 → -0.72%
   🟢 380550 10:54 매수 → +3.50%
   🟢 054540 11:09 매수 → +1.52%
   🟢 073010 11:11 매수 → +3.50%
   🔴 014940 11:30 매수 → -2.50%
   🟢 084990 11:30 매수 → +0.74%

=== 032820 - 20250904 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-04 09:28:12
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    13:24→13:27: 종가:7,738 | 거래량:14,584 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:27→13:30: 종가:7,725 | 거래량:17,764 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:30→13:33: 종가:7,725 | 거래량:15,648 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:33→13:36: 종가:7,700 | 거래량:10,924 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:36→13:39: 종가:7,725 | 거래량:19,340 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:39→13:42: 종가:7,738 | 거래량:12,376 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:42→13:45: 종가:7,713 | 거래량:10,288 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:45→13:48: 종가:7,688 | 거래량:36,340 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:48→13:51: 종가:7,700 | 거래량:9,164 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:51→13:54: 종가:7,738 | 거래량:24,920 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:54→13:57: 종가:7,738 | 거래량:28,300 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:57→14:00: 종가:7,713 | 거래량:37,384 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:00→14:03: 종가:7,713 | 거래량:17,476 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:03→14:06: 종가:7,688 | 거래량:15,120 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:06→14:09: 종가:7,675 | 거래량:83,836 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:09→14:12: 종가:7,675 | 거래량:19,136 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:12→14:15: 종가:7,688 | 거래량:14,196 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:15→14:18: 종가:7,700 | 거래량:16,996 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:18→14:21: 종가:7,788 | 거래량:453,384 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:21→14:24: 종가:7,725 | 거래량:199,916 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:24→14:27: 종가:7,738 | 거래량:39,932 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:27→14:30: 종가:7,825 | 거래량:211,684 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:30→14:33: 종가:7,725 | 거래량:84,196 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:33→14:36: 종가:7,738 | 거래량:32,568 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:36→14:39: 종가:7,725 | 거래량:26,752 | 🔴회피(4단계패턴없음) | 신뢰도:0%
