=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 8건 (0승 8패)
총 수익금: -179,452원 (-17.9%)
  ㄴ 승리 수익: +0원 (실제 수익률 합계)
  ㄴ 손실 금액: -179,452원 (실제 손실률 합계)

=== 총 승패: 0승 8패 ===
=== selection_date 이후 승패: 0승 8패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 0승 8패 (승률 0.0%) ===
총 수익금: -179,452원 (-17.9%)
  ㄴ 승리 수익: +0원
  ㄴ 손실 금액: -179,452원

   🔴 058470 09:36 매수 → -2.50%
   🔴 099440 09:36 매수 → -2.50%
   🔴 445680 09:55 매수 → -2.50%
   🔴 099440 10:03 매수 → -2.50%
   🔴 102940 11:06 매수 → -2.16%
   🔴 174900 11:12 매수 → -2.50%
   🔴 445680 11:42 매수 → -0.78%
   🔴 156100 11:45 매수 → -2.50%

=== 221800 - 20251125 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-25 10:18:11
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    14:03→14:06: 종가:6,010 | 거래량:4,950 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:06→14:09: 종가:6,070 | 거래량:59,708 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:09→14:12: 종가:6,100 | 거래량:22,352 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:12→14:15: 종가:6,060 | 거래량:11,484 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:15→14:18: 종가:6,025 | 거래량:21,610 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:18→14:21: 종가:6,050 | 거래량:10,799 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:21→14:24: 종가:6,080 | 거래량:10,749 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:24→14:27: 종가:6,070 | 거래량:14,301 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:27→14:30: 종가:6,080 | 거래량:3,337 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:30→14:33: 종가:6,060 | 거래량:4,679 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:33→14:36: 종가:6,050 | 거래량:3,012 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:36→14:39: 종가:6,050 | 거래량:8,002 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:39→14:42: 종가:6,060 | 거래량:3,151 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:42→14:45: 종가:6,030 | 거래량:5,996 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:45→14:48: 종가:6,060 | 거래량:3,515 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:48→14:51: 종가:6,040 | 거래량:4,677 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:51→14:54: 종가:6,010 | 거래량:4,714 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:54→14:57: 종가:6,030 | 거래량:14,746 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:57→15:00: 종가:6,020 | 거래량:7,327 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:00→15:03: 종가:5,980 | 거래량:19,577 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:03→15:06: 종가:5,960 | 거래량:24,557 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:06→15:09: 종가:5,950 | 거래량:6,973 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:09→15:12: 종가:5,980 | 거래량:11,473 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:12→15:15: 종가:5,960 | 거래량:5,655 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:15→15:18: 종가:5,940 | 거래량:8,675 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:18→15:21: 종가:5,930 | 거래량:19,847 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%

=== 007660 - 20251125 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-25 09:02:22
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:146,400 | 거래량:219,967 | 🔴회피(시가대비1.5%상승(2%미만차단)) | 신뢰도:0%
    09:15→09:18: 종가:147,000 | 거래량:210,659 | 🔴회피(시가대비1.9%상승(2%미만차단)) | 신뢰도:0%
    09:18→09:21: 종가:146,400 | 거래량:81,422 | 🔴회피(시가대비1.5%상승(2%미만차단)) | 신뢰도:0%
    09:21→09:24: 종가:145,400 | 거래량:78,029 | 🔴회피(이등분선아래) | 신뢰도:0%
    09:24→09:27: 종가:144,600 | 거래량:60,704 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:27→09:30: 종가:143,300 | 거래량:87,581 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:30→09:33: 종가:144,500 | 거래량:51,838 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:33→09:36: 종가:145,200 | 거래량:54,116 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:36→09:39: 종가:143,700 | 거래량:40,930 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:39→09:42: 종가:142,800 | 거래량:102,500 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:42→09:45: 종가:142,300 | 거래량:40,512 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:45→09:48: 종가:142,600 | 거래량:30,632 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:48→09:51: 종가:142,400 | 거래량:29,623 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:51→09:54: 종가:141,500 | 거래량:48,200 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:54→09:57: 종가:140,900 | 거래량:55,510 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:57→10:00: 종가:141,500 | 거래량:30,048 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:00→10:03: 종가:140,300 | 거래량:36,789 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:03→10:06: 종가:140,400 | 거래량:39,978 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:06→10:09: 종가:140,100 | 거래량:18,581 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:09→10:12: 종가:139,500 | 거래량:49,590 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:12→10:15: 종가:139,300 | 거래량:33,346 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:15→10:18: 종가:139,000 | 거래량:26,537 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:18→10:21: 종가:138,700 | 거래량:46,429 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:21→10:24: 종가:139,000 | 거래량:27,296 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:24→10:27: 종가:139,500 | 거래량:24,089 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:27→10:30: 종가:139,800 | 거래량:37,007 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:30→10:33: 종가:141,000 | 거래량:36,482 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:33→10:36: 종가:141,900 | 거래량:45,823 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:36→10:39: 종가:141,800 | 거래량:35,156 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:39→10:42: 종가:141,500 | 거래량:17,454 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:42→10:45: 종가:141,300 | 거래량:20,865 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:45→10:48: 종가:141,000 | 거래량:18,242 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:48→10:51: 종가:141,600 | 거래량:12,545 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:51→10:54: 종가:142,000 | 거래량:16,208 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:54→10:57: 종가:142,000 | 거래량:16,602 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:57→11:00: 종가:142,400 | 거래량:30,823 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:00→11:03: 종가:142,100 | 거래량:12,777 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:03→11:06: 종가:143,100 | 거래량:40,255 | 🔴회피(당일시가이하(시가:144200)) | 신뢰도:0%
    11:06→11:09: 종가:142,750 | 거래량:24,289 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:09→11:12: 종가:142,900 | 거래량:15,125 | 🔴회피(당일시가이하(시가:144200)) | 신뢰도:0%
    11:12→11:15: 종가:143,000 | 거래량:10,943 | 🔴회피(당일시가이하(시가:144200)) | 신뢰도:0%
    11:15→11:18: 종가:143,900 | 거래량:30,440 | 🔴회피(당일시가이하(시가:144200)) | 신뢰도:0%
    11:18→11:21: 종가:143,300 | 거래량:19,457 | 🔴회피(당일시가이하(시가:144200)) | 신뢰도:0%
    11:21→11:24: 종가:144,500 | 거래량:26,137 | 🔴회피(시가대비0.2%상승(2%미만차단)) | 신뢰도:0%
    11:24→11:27: 종가:144,100 | 거래량:23,127 | 🔴회피(당일시가이하(시가:144200)) | 신뢰도:0%
    11:27→11:30: 종가:144,700 | 거래량:25,421 | 🔴회피(시가대비0.3%상승(2%미만차단)) | 신뢰도:0%
    11:30→11:33: 종가:144,700 | 거래량:20,019 | 🔴회피(시가대비0.3%상승(2%미만차단)) | 신뢰도:0%
    11:33→11:36: 종가:144,600 | 거래량:10,280 | 🔴회피(시가대비0.3%상승(2%미만차단)) | 신뢰도:0%
    11:36→11:39: 종가:144,600 | 거래량:15,430 | 🔴회피(시가대비0.3%상승(2%미만차단)) | 신뢰도:0%
    11:39→11:42: 종가:144,500 | 거래량:10,153 | 🔴회피(시가대비0.2%상승(2%미만차단)) | 신뢰도:0%
    11:42→11:45: 종가:144,800 | 거래량:16,950 | 🔴회피(시가대비0.4%상승(2%미만차단)) | 신뢰도:0%
    11:45→11:48: 종가:144,700 | 거래량:13,787 | 🔴회피(시가대비0.3%상승(2%미만차단)) | 신뢰도:0%
    11:48→11:51: 종가:145,000 | 거래량:15,538 | 🔴회피(시가대비0.6%상승(2%미만차단)) | 신뢰도:0%
    11:51→11:54: 종가:144,900 | 거래량:12,510 | 🔴회피(시가대비0.5%상승(2%미만차단)) | 신뢰도:0%
    11:54→11:57: 종가:145,200 | 거래량:35,828 | 🔴회피(시가대비0.7%상승(2%미만차단)) | 신뢰도:0%
    11:57→12:00: 종가:145,500 | 거래량:44,852 | 🔴회피(시가대비0.9%상승(2%미만차단)) | 신뢰도:0%
    12:00→12:03: 종가:145,600 | 거래량:21,511 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    12:03→12:06: 종가:145,700 | 거래량:18,880 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    12:06→12:09: 종가:145,600 | 거래량:10,002 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    12:09→12:12: 종가:145,200 | 거래량:14,965 | 🔴회피(시가대비0.7%상승(2%미만차단)) | 신뢰도:0%
    12:12→12:15: 종가:144,000 | 거래량:29,822 | 🔴회피(당일시가이하(시가:144200)) | 신뢰도:0%
    12:15→12:18: 종가:144,800 | 거래량:13,870 | 🔴회피(시가대비0.4%상승(2%미만차단)) | 신뢰도:0%
