=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 10건 (5승 5패)
총 수익금: +42,279원 (+4.2%)
  ㄴ 승리 수익: +153,841원 (실제 수익률 합계)
  ㄴ 손실 금액: -111,562원 (실제 손실률 합계)

=== 총 승패: 5승 5패 ===
=== selection_date 이후 승패: 5승 5패 ===
=== 📊 최대 동시 보유 종목 수: 7개 ===
=== 🌅 12시 이전 매수 종목: 5승 5패 (승률 50.0%) ===
총 수익금: +42,279원 (+4.2%)
  ㄴ 승리 수익: +153,841원
  ㄴ 손실 금액: -111,562원

   🔴 287840 09:31 매수 → -1.16%
   🔴 099440 09:42 매수 → -2.50%
   🟢 064820 10:01 매수 → +3.50%
   🟢 336260 10:12 매수 → +3.50%
   🟢 204620 10:30 매수 → +1.38%
   🔴 064820 10:41 매수 → -2.50%
   🔴 382900 10:48 매수 → -2.50%
   🟢 327260 10:54 매수 → +3.50%
   🟢 413630 11:15 매수 → +3.50%
   🔴 103230 11:21 매수 → -2.50%

=== 452280 - 20250911 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-11 09:02:21
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    12:18→12:21: 종가:10,740 | 거래량:23,315 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:21→12:24: 종가:10,820 | 거래량:29,597 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:24→12:27: 종가:11,250 | 거래량:383,211 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:27→12:30: 종가:11,270 | 거래량:149,515 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:30→12:33: 종가:11,360 | 거래량:95,792 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:33→12:36: 종가:11,420 | 거래량:316,229 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:36→12:39: 종가:11,370 | 거래량:53,443 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:39→12:42: 종가:11,400 | 거래량:136,367 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:42→12:45: 종가:11,360 | 거래량:93,454 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:45→12:48: 종가:11,310 | 거래량:67,015 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:48→12:51: 종가:11,230 | 거래량:82,602 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:51→12:54: 종가:11,300 | 거래량:30,614 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:54→12:57: 종가:11,330 | 거래량:24,575 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:57→13:00: 종가:11,240 | 거래량:28,801 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:00→13:03: 종가:11,225 | 거래량:48,320 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:03→13:06: 종가:11,240 | 거래량:21,040 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:06→13:09: 종가:11,290 | 거래량:19,918 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:09→13:12: 종가:11,250 | 거래량:23,864 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:12→13:15: 종가:11,300 | 거래량:11,232 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:15→13:18: 종가:11,360 | 거래량:30,123 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:18→13:21: 종가:11,330 | 거래량:35,934 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:21→13:24: 종가:11,430 | 거래량:70,805 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:24→13:27: 종가:11,470 | 거래량:153,190 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:27→13:30: 종가:11,470 | 거래량:9,197 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:30→13:33: 종가:11,470 | 거래량:2,100 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:33→13:36: 종가:11,470 | 거래량:11,971 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:36→13:39: 종가:11,470 | 거래량:11,847 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:39→13:42: 종가:11,470 | 거래량:2,012 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:42→13:45: 종가:11,470 | 거래량:2,319 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:45→13:48: 종가:11,470 | 거래량:1,051 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:48→13:51: 종가:11,470 | 거래량:2,110 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:51→13:54: 종가:11,470 | 거래량:227 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:54→13:57: 종가:11,470 | 거래량:2,434 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:57→14:00: 종가:11,470 | 거래량:1,191 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:00→14:03: 종가:11,470 | 거래량:874 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:03→14:06: 종가:11,470 | 거래량:353 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:06→14:09: 종가:11,470 | 거래량:2,640 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:09→14:12: 종가:11,470 | 거래량:999 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:12→14:15: 종가:11,470 | 거래량:994 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:15→14:18: 종가:11,470 | 거래량:459 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:18→14:21: 종가:11,470 | 거래량:230 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:21→14:24: 종가:11,470 | 거래량:13,982 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:24→14:27: 종가:11,470 | 거래량:317 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:27→14:30: 종가:11,470 | 거래량:57 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:30→14:33: 종가:11,470 | 거래량:116 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:33→14:36: 종가:11,470 | 거래량:79 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:36→14:39: 종가:11,470 | 거래량:227 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:39→14:42: 종가:11,470 | 거래량:1,369 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:42→14:45: 종가:11,470 | 거래량:811 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:45→14:48: 종가:11,470 | 거래량:291 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:48→14:51: 종가:11,470 | 거래량:69 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:51→14:54: 종가:11,470 | 거래량:612 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:54→14:57: 종가:11,470 | 거래량:18 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:57→15:00: 종가:11,470 | 거래량:39 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:00→15:03: 종가:11,470 | 거래량:147 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:03→15:06: 종가:11,470 | 거래량:322 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:06→15:09: 종가:11,470 | 거래량:470 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:09→15:12: 종가:11,470 | 거래량:490 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:12→15:15: 종가:11,470 | 거래량:529 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:15→15:18: 종가:11,470 | 거래량:517 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:18→15:21: 종가:11,470 | 거래량:65 | 🔴회피(4단계패턴없음) | 신뢰도:0%

=== 382900 - 20250911 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-11 09:28:13
  승패: 0승 1패
  selection_date 이후 승패: 0승 1패
  매매신호:
    10:48 [pullback_pattern]
  체결 시뮬레이션:
    10:48 매수[pullback_pattern] @29,050 → 10:58 매도[stop_loss_2.5pct] @28,324 (-2.50%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:26,550 | 거래량:18,939 | 🔴회피(시가대비0.2%상승(2%미만차단)) | 신뢰도:0%
    09:15→09:18: 종가:26,650 | 거래량:18,292 | 🔴회피(시가대비0.6%상승(2%미만차단)) | 신뢰도:0%
    09:18→09:21: 종가:26,600 | 거래량:16,218 | 🔴회피(시가대비0.4%상승(2%미만차단)) | 신뢰도:0%
    09:21→09:24: 종가:26,850 | 거래량:20,130 | 🔴회피(시가대비1.3%상승(2%미만차단)) | 신뢰도:0%
    09:24→09:27: 종가:28,200 | 거래량:227,075 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:28,750 | 거래량:213,532 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:28,900 | 거래량:180,870 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:29,100 | 거래량:69,586 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:28,850 | 거래량:161,824 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    09:39→09:42: 종가:29,950 | 거래량:197,398 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:29,050 | 거래량:135,557 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    09:45→09:48: 종가:29,150 | 거래량:49,893 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:28,900 | 거래량:40,910 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:29,200 | 거래량:46,254 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:29,100 | 거래량:47,852 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:28,900 | 거래량:28,626 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:28,650 | 거래량:56,766 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:28,350 | 거래량:47,655 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:28,300 | 거래량:26,518 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:28,400 | 거래량:11,722 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:28,400 | 거래량:19,834 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:28,450 | 거래량:6,008 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:28,550 | 거래량:15,268 | 🟢강매수 | 신뢰도:87%
    10:21→10:24: 종가:28,600 | 거래량:15,078 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:28,550 | 거래량:10,032 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:28,500 | 거래량:13,736 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:28,050 | 거래량:28,718 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:33→10:36: 종가:28,000 | 거래량:41,603 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:36→10:39: 종가:28,050 | 거래량:11,563 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:39→10:42: 종가:28,050 | 거래량:12,532 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:42→10:45: 종가:28,450 | 거래량:15,584 | 🔴회피(신뢰도95%이상차단) | 신뢰도:0%
    10:45→10:48: 종가:29,200 | 거래량:58,473 | 🟢강매수 | 신뢰도:91% | 💰매수@29,050 | →10:58매도@28,324
    10:48→10:51: 종가:28,600 | 거래량:41,232 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:51→10:54: 종가:28,500 | 거래량:10,403 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:54→10:57: 종가:28,550 | 거래량:15,485 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:57→11:00: 종가:28,450 | 거래량:11,777 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:00→11:03: 종가:28,600 | 거래량:4,223 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:03→11:06: 종가:28,500 | 거래량:3,410 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:06→11:09: 종가:28,550 | 거래량:2,854 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:09→11:12: 종가:28,200 | 거래량:12,902 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:12→11:15: 종가:28,100 | 거래량:12,748 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:15→11:18: 종가:28,100 | 거래량:9,921 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:18→11:21: 종가:28,250 | 거래량:3,456 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:21→11:24: 종가:28,200 | 거래량:2,916 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:24→11:27: 종가:28,200 | 거래량:1,854 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:27→11:30: 종가:28,100 | 거래량:4,493 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:30→11:33: 종가:28,100 | 거래량:2,729 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:33→11:36: 종가:28,100 | 거래량:2,293 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:36→11:39: 종가:27,750 | 거래량:13,040 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:39→11:42: 종가:27,900 | 거래량:14,035 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:42→11:45: 종가:27,800 | 거래량:4,020 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:45→11:48: 종가:27,950 | 거래량:1,851 | 🔴회피(이등분선아래) | 신뢰도:0%
    11:48→11:51: 종가:28,000 | 거래량:2,175 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:51→11:54: 종가:28,100 | 거래량:6,884 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:54→11:57: 종가:28,150 | 거래량:2,791 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:57→12:00: 종가:28,250 | 거래량:7,712 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:00→12:03: 종가:28,400 | 거래량:14,521 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:03→12:06: 종가:28,150 | 거래량:7,066 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:06→12:09: 종가:27,950 | 거래량:9,039 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:09→12:12: 종가:27,950 | 거래량:4,040 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:12→12:15: 종가:28,000 | 거래량:2,635 | 🔴회피(4단계패턴없음) | 신뢰도:0%
