=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 4건 (2승 2패)
총 수익금: +20,000원 (+0.5%)
  ㄴ 승리 수익: +70,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

=== 총 승패: 2승 2패 ===
=== selection_date 이후 승패: 2승 2패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 2승 2패 (승률 50.0%) ===
총 수익금: +20,000원 (+0.5%)
  ㄴ 승리 수익: +70,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

   🟢 440110(파두) 10:07 매수 → +3.50% [ML: 73.1%]
   🟢 094170(동운아나텍) 10:15 매수 → +3.50% [ML: 71.1%]
   🔴 084670(동양고속) 10:36 매수 → -2.50% [ML: 57.3%]
   🔴 039200(오스코텍) 10:40 매수 → -2.50% [ML: 77.9%]

=== 448900 - 20251127 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-27 10:12:14
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    14:45→14:48: 종가:43,850 | 거래량:1,234 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:48→14:51: 종가:43,700 | 거래량:2,218 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:51→14:54: 종가:43,700 | 거래량:808 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:54→14:57: 종가:43,700 | 거래량:967 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:57→15:00: 종가:43,950 | 거래량:2,990 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:00→15:03: 종가:44,100 | 거래량:5,579 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:03→15:06: 종가:44,150 | 거래량:1,956 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:06→15:09: 종가:43,850 | 거래량:5,400 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:09→15:12: 종가:43,750 | 거래량:1,790 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:12→15:15: 종가:43,800 | 거래량:2,262 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:15→15:18: 종가:43,800 | 거래량:3,306 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:18→15:21: 종가:43,850 | 거래량:2,096 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%

=== 092200 - 20251127 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-27 10:11:11
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:6,455 | 거래량:51,706 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:15→09:18: 종가:6,540 | 거래량:27,545 | 🔴회피(당일시가이하(시가:6560)) | 신뢰도:0%
    09:18→09:21: 종가:6,510 | 거래량:35,022 | 🔴회피(당일시가이하(시가:6560)) | 신뢰도:0%
    09:21→09:24: 종가:6,490 | 거래량:22,200 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:24→09:27: 종가:6,450 | 거래량:24,846 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:27→09:30: 종가:6,520 | 거래량:14,661 | 🔴회피(당일시가이하(시가:6560)) | 신뢰도:0%
    09:30→09:33: 종가:6,500 | 거래량:25,465 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:33→09:36: 종가:6,500 | 거래량:21,303 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:36→09:39: 종가:6,515 | 거래량:17,409 | 🔴회피(당일시가이하(시가:6560)) | 신뢰도:0%
    09:39→09:42: 종가:6,500 | 거래량:18,122 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:42→09:45: 종가:6,550 | 거래량:6,773 | 🔴회피(당일시가이하(시가:6560)) | 신뢰도:0%
    09:45→09:48: 종가:6,540 | 거래량:10,366 | 🔴회피(당일시가이하(시가:6560)) | 신뢰도:0%
    09:48→09:51: 종가:6,590 | 거래량:35,923 | 🔴회피(시가대비0.5%상승(2%미만차단)) | 신뢰도:0%
    09:51→09:54: 종가:6,580 | 거래량:27,584 | 🔴회피(시가대비0.3%상승(2%미만차단)) | 신뢰도:0%
    09:54→09:57: 종가:6,600 | 거래량:21,650 | 🔴회피(시가대비0.6%상승(2%미만차단)) | 신뢰도:0%
    09:57→10:00: 종가:6,720 | 거래량:96,780 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:7,040 | 거래량:477,176 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:7,070 | 거래량:446,514 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:7,180 | 거래량:331,819 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:7,420 | 거래량:768,224 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:7,480 | 거래량:738,394 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:7,280 | 거래량:535,765 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:7,270 | 거래량:267,695 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:7,240 | 거래량:198,797 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:7,190 | 거래량:140,279 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:7,150 | 거래량:194,679 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:7,050 | 거래량:223,046 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:33→10:36: 종가:7,100 | 거래량:101,666 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:36→10:39: 종가:7,070 | 거래량:82,708 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:39→10:42: 종가:7,120 | 거래량:81,326 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:42→10:45: 종가:7,140 | 거래량:60,908 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:45→10:48: 종가:7,130 | 거래량:28,035 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:48→10:51: 종가:7,160 | 거래량:70,290 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:51→10:54: 종가:7,140 | 거래량:77,022 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:54→10:57: 종가:7,180 | 거래량:52,449 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:57→11:00: 종가:7,160 | 거래량:79,884 | 🔴회피(4단계패턴없음) | 신뢰도:0%
