=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 6건 (5승 1패)
총 수익금: +116,100원 (+1.9%)
  ㄴ 승리 수익: +141,100원 (실제 수익률 합계)
  ㄴ 손실 금액: -25,000원 (실제 손실률 합계)

=== 총 승패: 5승 1패 ===
=== selection_date 이후 승패: 5승 1패 ===
=== 📊 최대 동시 보유 종목 수: 3개 ===
=== 🌅 12시 이전 매수 종목: 5승 1패 (승률 83.3%) ===
총 수익금: +116,100원 (+1.9%)
  ㄴ 승리 수익: +141,100원 (실제 수익률 합계)
  ㄴ 손실 금액: -25,000원 (실제 손실률 합계)

   🟢 226950(올릭스) 09:54 매수 → +3.50% [ML: 66.3%]
   🟢 160190(하이젠알앤엠) 10:00 매수 → +3.50% [ML: 73.3%]
   🟢 458870(씨어스테크놀로지) 10:40 매수 → +0.11% [ML: 53.0%]
   🟢 380550(뉴로핏) 10:48 매수 → +3.50% [ML: 77.5%]
   🔴 014620(성광벤드) 11:21 매수 → -2.50% [ML: 50.0%] (패턴없음)
   🟢 437730(삼현) 11:24 매수 → +3.50% [ML: 50.0%] (패턴없음)

=== 380550 - 20250902 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-02 10:10:44
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    10:48 [pullback_pattern]
  체결 시뮬레이션:
    10:48 매수[pullback_pattern] @12,222 → 10:58 매도[profit_3.5pct] @12,650 (+3.50%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    12:54→12:57: 종가:12,610 | 거래량:16,444 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:57→13:00: 종가:12,640 | 거래량:9,447 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:00→13:03: 종가:12,630 | 거래량:3,508 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:03→13:06: 종가:12,600 | 거래량:11,401 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:06→13:09: 종가:12,610 | 거래량:3,320 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:09→13:12: 종가:12,770 | 거래량:18,581 | 🔴회피(시가대비22.8%상승(22%이상차단)) | 신뢰도:0%
    13:12→13:15: 종가:12,820 | 거래량:61,725 | 🔴회피(시가대비23.3%상승(22%이상차단)) | 신뢰도:0%
    13:15→13:18: 종가:12,840 | 거래량:18,383 | 🔴회피(시가대비23.5%상승(22%이상차단)) | 신뢰도:0%
    13:18→13:21: 종가:12,800 | 거래량:11,494 | 🔴회피(시가대비23.1%상승(22%이상차단)) | 신뢰도:0%
    13:21→13:24: 종가:12,750 | 거래량:10,418 | 🔴회피(시가대비22.6%상승(22%이상차단)) | 신뢰도:0%
    13:24→13:27: 종가:12,700 | 거래량:12,149 | 🔴회피(시가대비22.1%상승(22%이상차단)) | 신뢰도:0%
    13:27→13:30: 종가:12,790 | 거래량:5,010 | 🔴회피(시가대비23.0%상승(22%이상차단)) | 신뢰도:0%
    13:30→13:33: 종가:13,030 | 거래량:134,418 | 🔴회피(시가대비25.3%상승(22%이상차단)) | 신뢰도:0%
    13:33→13:36: 종가:13,080 | 거래량:110,304 | 🔴회피(시가대비25.8%상승(22%이상차단)) | 신뢰도:0%
    13:36→13:39: 종가:13,110 | 거래량:86,295 | 🔴회피(시가대비26.1%상승(22%이상차단)) | 신뢰도:0%
    13:39→13:42: 종가:13,150 | 거래량:50,844 | 🔴회피(시가대비26.4%상승(22%이상차단)) | 신뢰도:0%
    13:42→13:45: 종가:13,100 | 거래량:35,072 | 🔴회피(시가대비26.0%상승(22%이상차단)) | 신뢰도:0%
    13:45→13:48: 종가:13,120 | 거래량:29,381 | 🔴회피(시가대비26.2%상승(22%이상차단)) | 신뢰도:0%
    13:48→13:51: 종가:13,080 | 거래량:19,233 | 🔴회피(시가대비25.8%상승(22%이상차단)) | 신뢰도:0%
    13:51→13:54: 종가:13,130 | 거래량:37,754 | 🔴회피(시가대비26.2%상승(22%이상차단)) | 신뢰도:0%
    13:54→13:57: 종가:13,180 | 거래량:29,789 | 🔴회피(시가대비26.7%상승(22%이상차단)) | 신뢰도:0%
    13:57→14:00: 종가:13,000 | 거래량:86,349 | 🔴회피(시가대비25.0%상승(22%이상차단)) | 신뢰도:0%
